Title,Year,Directors,Rating,WatchedDate,Review
Mr. Nobody Against Putin,2025,"David Borenstein,Pavel Talankin",3.0,2026-05-03,"Powerful documentary which manages to show us a peek inside of how Russian war propaganda is used to indoctrinate the children, but also how the most polluted town in the world is more than just an ugly stat, namely also a vibrant and beautiful community. Pavel is a heroic teacher and I'm thankful for this work."
Todo sobre mi madre,1999,Pedro Almodóvar,4.0,2026-03-09,"Great, creative storytelling and script, captivating actors in a remarkable and applaudable mix of hard-hitting drama and playful comedy. The production is gorgeous: vivid colors, good use of music. This one really surprised me, there's much to appreciate here. Very good film."
Paul Blart: Mall Cop 2,2015,Andy Fickman,1.0,2026-02-17,"I know it's just a simple mainstream comedy, but who decided to make Paul Blart such an asshole in the first half of the film? Not cool."
Paul Blart: Mall Cop,2009,Steve Carr,2.0,2026-01-08,Not a very good film but did make me laugh at times. Somewhat enjoyable.
Spaceballs,1987,Mel Brooks,2.0,2026-01-07,"Not a great fan of Brooks, but plenty of funny moments and I applaud the effort."
Winter Sleep,2014,Nuri Bilge Ceylan,4.0,2026-01-03,"This is a great film. The combination of its psychological complexity and moral ambiguity, and its breath-taking photography and cinematography in general make this feel like an modern Ingmar Bergman epic. The one thing keeping this from being 5/5 for me is the somewhat overtly theatrical, dramatic touch. Sometimes the dialogues seem to almost cross the fourth wall, tainting some of the realism that helps make this film so great. Nonetheless, this is a beautiful film."
Viridiana,1961,Luis Buñuel,4.0,2025-12-17,"What a powerful blow to optimism, delivered in the entertaining form of absurd comedy like Buñuel does so well. Piety seems to be depicted as naive, so much so that I wonder how Viridiana's faith will hold up. I loved the dark twist with the increasingly derailing dinner scene at the end. Good film."
Mother!,2017,Darren Aronofsky,3.0,2025-12-17,
Een vrouw onder invloed,1974,John Cassavetes,4.0,2025-12-13,"Mostly through the phenomenal acting by Peter Falke and especially Gena Rowlands. this film manages to reach great depth with a straightforward plot and minimal - but very powerful - script. Without being mentioned explicitly, topics that come up include how to regard and treat people with mental illness, how the mother-child relation is affected by this, as well as how it affects the love experienced between husband and wife. Near the end when Mabel asks Nick whether he loves her, and he struggles only to eventually avoid saying yes is where the film wraps things up perfectly. Great film!"
Arrival,2016,Denis Villeneuve,3.0,2025-11-08,"A very brave and well-done adaptation of Ted Chiang's short story, which strikes me as a very hard thing to do well, the theme and writing being so abstract and intellectual in nature. Yet, Villeneuve managed to do a good job, including making it more accessible - albeit at the sacrifice of some depth - to the general public. His signature style of drone-heavy ambient, minimalist CGI and beautiful photography really made this into a beauty of a film."
The Wicker Man,1973,Robin Hardy,4.0,2025-11-06,"A playful, fun but still thought-provoking film. The Summer Isle community is a wonderfully fantasized place, and it truly climaxes with the May day and its absurdity and costumes."
Titane,2021,Julia Ducournau,3.0,2025-11-06,"While curiously awaiting the fruits of what may perhaps be the most curious pregnancy I have ever borne withess to, TITANE manages to entertain with its erotic, futuristic style. The film elevates sheer entertainmant in its second half, when Alexia develops a son-father bond with the fire fighters captain. I really love his acting and the absurdity of their trauma-induced relationship. Very interesting film."
Ace Ventura: When Nature Calls,1995,Steve Oedekerk,2.0,2025-04-21,Otherwise cliche Hollywood worth your while thanks to Jim's gift!
The Thirteenth Floor,1999,Josef Rusnak,1.0,2025-04-18,A cliche Hollywood disgrace to the book.
The Substance,2024,Coralie Fargeat,3.0,2025-11-30,"One of the most gory body horrors I've ever seen, but with substance! The societal critique on the sexualization of women is obvious, but using this genre to shape the attack is really cool. This film shares its eeriness with films such as Being John Malkovich and Amer, but also reminds of the tongue-in-cheek Spring Breakers. The ultraslick style isn't always my taste, but it is done with care and consistency. This is a good watch."
The Brutalist,2024,Brady Corbet,5.0,2025-04-13,"Such an ambitious piece. Reminding me of 70s US cinema , this slow-paced, visually stunning epic is just a must-see. How it manages to have history, art and the psychological toll of greatness intertwine in such an audio-visual film is a great achievement. Fantastic acting, a wonderfully supporting soundtrack and above all breath-taking photography and camera work. Try to catch this on a big screen!"
Liar Liar,1997,Tom Shadyac,2.0,2025-04-06,"Jim Carrey's gift turns this otherwise cliche Hollywood film into a great time. Don't expect a good film, but a good laugh, and this is certainly worthwile."
The Adventures of Prince Achmed,1926,Lotte Reiniger,4.0,2025-01-15,"Such creativity in the early days of film. Her techniques for adding depth are stunning. The comical style of depiction and movement really fits the Arabic setting well, and each of the manually drawn frames are filled with Reiniger's passion. To top it all off I was lucky enough to have seen this with live music played on top of it composed by Steven Kamperman. It was a marvelous experience."
How to Make Millions Before Grandma Dies,2024,Pat Boonnitipat,2.0,2025-01-11,"I'm not crazy about comedy dramas: the genres just don't seem to work well together. Characters just never feel quite real, and there's an annoying comedic touch in the acting that disbalances the good acting in the dramatic scenes. Overall though the film is a nice watch. Grandma is great and the film conveys its lesson well. My favorite thing, by the way, might be the exceptional tailored piano soundtrack."
The Kings of the World,2022,Laura Mora Ortega,4.0,2024-12-10,"Those who have nothing, have nothing to lose. A beautiful depiction of the raw lives of these youngsters from the streets of Colombia. The bipolar nature of the film makes you live through the youthful, playful highs as well as the terrifying, crippling lows. The dreamy, surrealistic touch really finishes it off. Great film."
"So Long, My Son",2019,Wang Xiaoshuai,4.0,2026-05-18,"Great stories do much of the storytelling themselves, you just have to know how to present it interestingly. Just showing, rather than obtrusively telling, relying on the great acting, beautiful shots, raw and ambiguous characters and plentifulness of runtime, this film is a true work of art."
